set,name,be_new_value,bl_sold_new_avg,lots_new,be_used_value,bl_sold_used_avg,lots_used,be_over_bl_new,be_over_bl_used,bucket
75366-1,Advent Calendar,,26.80,23,21.85,21.63,1,,1.010,healthy
76302-1,Superman Mech vs. Lex Luthor,17.26,12.22,24,,10.49,3,1.413,,healthy
40775-1,Mini Knights Castle,15.40,14.52,348,,18.35,1,1.061,,healthy
21170-1,The Pig House,,44.32,2,28.01,24.15,8,,1.160,sparse
30734-1,Mini F1 ACADEMY Car,3.99,4.10,72,,,0,0.974,,healthy
71048-10,Pirate Quartermaster,8.98,,,7.45,,,,,error/not-found
71051-9,Dolphin Costume Girl,,,,4.59,,,,,error/not-found
76224-1,Batmobile: Batman vs. The Joker Chase,71.03,54.69,62,,32.13,3,1.299,,healthy
75354-1,Coruscant Guard Gunship,139.99,141.77,99,,115.31,21,0.987,,healthy
75345-1,501st Clone Troopers Battle Pack,19.99,15.20,175,16.59,11.39,31,1.315,1.457,healthy
71037-9,Potter,,,,2.36,,,,,error/not-found
30370-1,Diver,,5.61,56,3.88,3.26,5,,1.188,healthy
71039-2,Moon Knight,,60.58,77,6.67,51.83,5,,0.129,healthy
76307-1,Iron Man Mech vs. Ultron,14.99,12.33,10,,7.50,2,1.216,,healthy
71763-1,Lloyd's Race Car EVO,,31.49,12,25.48,19.22,4,,1.325,healthy
60443-1,F1 Pit Stop & Pit Crew with Ferrari Car,,18.58,8,24.89,7.00,1,,3.556,sparse
40769-1,SEGA Genesis Controller,39.99,30.98,170,,,0,1.291,,healthy
71051-2,Fluffy Cat Costume Girl,,46.32,546,8.29,44.91,3,,0.185,healthy
71049-12,F1 Car,5.00,,,,,,,,error/not-found
71051-3,Goldfish Costume Girl,,118.35,130,4.68,,0,,,healthy
76400-1,Hogwarts Carriage and Thestrals,,19.55,65,16.00,14.99,11,,1.067,healthy
76387-1,Hogwarts: Fluffy Encounter,68.72,67.24,34,,38.58,10,1.022,,healthy
76388-1,Hogsmeade Village Visit,90.00,78.67,24,,59.83,12,1.144,,healthy
40774-1,Classic Animation Scenes,29.16,25.59,206,,22.00,1,1.140,,healthy
40885-1,Duck Family,,21.21,222,,,0,,,healthy
40772-1,Celebration Series: 3. Luminous Ghost,18.90,12.65,129,15.69,9.00,1,1.494,1.743,healthy
71051-4,Monkey Costume Guy,,51.21,8,4.46,,0,,,sparse
60316-1,Police Station,69.99,49.77,9,,40.70,6,1.406,,sparse
71039-6,Hawkeye,,,,3.93,,,,,error/not-found
71048-5,Plush Toy Collector,,,,7.56,,,,,error/not-found
