set,name,be_new_value,bl_sold_new_avg,lots_new,be_used_value,bl_sold_used_avg,lots_used,be_over_bl_new,be_over_bl_used,bucket
75290-1,Mos Eisley Cantina,429.62,429.07,89,,378.52,22,1.001,,healthy
40416-1,Ice Skating Rink,23.82,20.66,87,,15.91,9,1.153,,healthy
40527-1,Easter Chicks,13.98,9.82,92,5.08,5.25,3,1.424,0.967,healthy
75395-1,Advent Calendar,,41.72,19,41.49,21.69,1,,1.913,healthy
40603-1,Wintertime Carriage Ride,34.99,28.44,84,,24.83,6,1.230,,healthy
60400-1,Go-Karts and Race Drivers,,7.09,13,8.29,,0,,,healthy
912403-1,Coruscant Guard,5.86,6.37,75,,,0,0.920,,healthy
71046-5,M-Tron Powerlifter,,,,7.45,,,,,error/not-found
30653-1,Batman 1992,10.00,5.46,393,,3.76,3,1.832,,healthy
60431-1,Space Explorer Rover and Alien Life,,25.31,18,29.04,18.81,5,,1.544,healthy
60409-1,Mobile Construction Crane,152.04,110.95,54,,98.84,6,1.370,,healthy
71037-6,T-Rex Costume Fan,,,,4.53,,,,,error/not-found
76125-1,Iron Man Hall of Armour,89.97,66.08,86,,45.11,17,1.362,,healthy
40595-1,Tribute to Galileo Galilei,40.00,34.84,79,,27.22,5,1.148,,healthy
40425-1,Nutcracker,14.56,12.87,33,7.95,9.46,5,1.131,0.841,healthy
76401-1,Hogwarts Courtyard: Sirius's Rescue,67.44,59.83,30,,45.50,7,1.127,,healthy
71037-1,Football Referee,,4.55,12,2.43,,0,,,healthy
40616-1,Harry Potter & Cho Chang,26.68,21.88,13,,16.30,4,1.219,,healthy
71034-3,Snowman,,210.83,16,4.90,,0,,,healthy
71045-3,Basil the Bat Lord,,,,9.34,,,,,error/not-found
76279-1,Spider-Man Race Car & Venom Green Goblin,34.99,26.14,18,,,0,1.338,,healthy
75361-1,Spider Tank,,44.56,50,32.89,33.42,8,,0.984,healthy
71038-2,Pinocchio,,111.56,47,4.82,100.36,7,,0.048,healthy
43240-1,Maleficent's Dragon Form and Aurora's Castle,59.95,40.20,10,,30.05,2,1.491,,healthy
71038-17,Baymax,,,,5.22,,,,,error/not-found
75393-1,TIE Fighter & X-Wing Mash-up,107.68,86.43,63,,80.00,1,1.246,,healthy
40705-1,Micro Ninjago Gardens,19.70,17.14,131,,9.65,3,1.150,,healthy
30649-1,Ice Dragon Creature,,4.27,62,7.76,,0,,,healthy
71460-1,Mr. Oz's Spacebus,99.99,59.08,13,,34.99,2,1.693,,healthy
76288-1,Iron Man & Iron Legion vs. Hydra Soldier,19.99,17.31,14,,13.01,2,1.155,,healthy
71453-1,Izzie and Bunchu the Bunny,,13.47,11,16.59,7.50,2,,2.212,healthy
71047-11,Szass Tam,,,,8.49,,,,,error/not-found
30677-1,Draco in the Forbidden Forest,4.99,4.00,160,,2.81,3,1.247,,healthy
75373-1,Ambush on Mandalore Battle Pack,19.99,15.08,82,,12.48,5,1.325,,healthy
60437-1,Jungle Explorer Helicopter,120.00,90.97,14,,,0,1.319,,healthy
71038-9,Mulan,,,,4.50,,,,,error/not-found
40631-1,Gandalf the Grey and Balrog,,32.85,88,30.39,22.85,4,,1.330,healthy
71038-12,Pocahontas,,,,4.45,,,,,error/not-found
30625-1,Luke Skywalker with Blue Milk,29.71,28.31,68,,22.86,6,1.050,,healthy
60390-1,Park Tractor,,12.94,23,8.89,10.08,2,,0.882,healthy
76440-1,Triwizard Tournament: The Arrival,129.99,129.81,29,,101.38,4,1.001,,healthy
75341-1,Luke Skywalker's Landspeeder,238.42,190.13,64,,132.04,22,1.254,,healthy
60440-1,LEGO Delivery Truck,99.99,89.97,23,,70.56,5,1.111,,healthy
71038-10,Ernesto de la Cruz,,,,5.47,,,,,error/not-found
952403-1,Builder with Cement Mixer,3.09,3.74,24,,,0,0.826,,healthy
71047-6,Aarakocra Ranger,,,,4.15,,,,,error/not-found
76290-1,The Avengers vs. The Leviathan,44.99,35.80,32,,20.00,1,1.257,,healthy
76280-1,Spider-Man vs. Sandman: Final Battle,47.70,33.30,53,,26.35,5,1.433,,healthy
75356-1,Executor Super Star Destroyer,69.99,58.44,33,,45.17,21,1.198,,healthy
76404-1,Harry Potter Advent Calendar,,25.87,18,15.00,14.25,4,,1.053,healthy
76190-1,Iron Man: Iron Monger Mayhem,63.79,47.69,52,,34.53,5,1.338,,healthy
71047-5,Halfling Druid,,,,4.22,,,,,error/not-found
71045-12,Dog Groomer,,,,3.49,,,,,error/not-found
76188-1,Batman Classic TV Series Batmobile,64.98,51.06,146,34.99,36.43,18,1.273,0.961,healthy
71038-18,Evil Queen,,,,4.69,,,,,error/not-found
40712-1,Micro Rocket Launchpad,39.99,35.54,106,,22.05,5,1.125,,healthy
71046-3,Alien Tourist,,,,8.28,,,,,error/not-found
42623-1,Beach Water Scooter,,7.54,5,9.85,5.81,1,,1.695,sparse
71045-7,Weightlifter Woman,,,,3.15,,,,,error/not-found
71820-1,Ninja Team Combo Vehicle,78.36,64.25,8,,,0,1.220,,sparse
30581-1,Tropical Parrot,,6.30,60,3.33,4.01,3,,0.830,healthy
30672-1,Steve and Baby Panda,,3.80,115,7.46,,0,,,healthy
75337-1,AT-TE Walker,,112.23,77,116.19,96.80,35,,1.200,healthy
75396-1,Desert Skiff & Sarlacc Pit,135.00,83.93,244,,70.94,11,1.608,,healthy
40547-1,Obi-Wan Kenobi and Darth Vader,,19.36,55,24.89,14.11,8,,1.764,healthy
71047-10,The Lady of Pain,,,,7.17,,,,,error/not-found
76415-1,The Battle of Hogwarts,97.88,82.42,47,,62.28,11,1.188,,healthy
6490363-1,By the Fireplace,23.72,,,,,,,,error/not-found
910038-1,Ominous Isle,310.79,268.00,51,,227.32,4,1.160,,healthy
71788-1,Lloyd's Ninja Street Bike,,9.56,18,11.50,7.00,1,,1.643,healthy
60376-1,Arctic Snowmobile,15.99,10.43,76,,7.75,9,1.533,,healthy
60401-1,Construction Steamroller,12.99,10.36,37,,6.91,7,1.254,,healthy
75386-1,Paz Vizsla And Moff Gideon Battle,39.99,26.59,120,,23.40,14,1.504,,healthy
76430-1,Hogwarts Owlery,56.94,42.51,108,,35.09,11,1.339,,healthy
71038-1,Oswald the Lucky Rabbit,,6.60,23,4.56,,0,,,healthy
71046-12,Blacktron Mutant,,,,7.00,,,,,error/not-found
122405-1,Velociraptor Baby with DNA Lab,4.31,3.84,15,,,0,1.121,,healthy
76276-1,Venom Mech Armor vs. Miles Morales,14.98,10.18,30,,12.00,1,1.472,,healthy
40498-1,Penguin,19.99,14.27,46,10.18,9.05,8,1.401,1.125,healthy
40604-1,Christmas Decor Set,20.71,17.29,48,,9.61,4,1.198,,healthy
71045-10,Train Guy,,,,3.37,,,,,error/not-found
71034-10,Ferry Captain,,,,3.64,,,,,error/not-found
40587-1,Easter Basket,22.00,15.07,134,,5.00,1,1.460,,healthy
60436-1,City Advent Calendar 2024,,33.51,9,44.48,8.00,1,,5.560,sparse
30675-1,Tournament Training Ground,10.96,4.12,121,,3.00,1,2.660,,healthy
40607-1,Summer VIP Add-On pack,10.35,9.47,55,,5.00,1,1.093,,healthy
60381-1,Advent Calendar,,32.05,3,36.63,9.90,1,,3.700,sparse
71046-9,Robot Butler,,,,7.46,,,,,error/not-found
75311-1,Imperial Armoured Marauder,44.99,46.63,71,32.00,30.88,18,0.965,1.036,healthy
71046-11,Orion,,,,8.90,,,,,error/not-found
40670-1,Iron Spider-Man,19.60,12.56,33,,7.82,5,1.560,,healthy
71812-1,Kai's Ninja Climber Mech,,70.54,10,81.14,50.61,4,,1.603,healthy
75280-1,501st Legion Clone Troopers,39.82,36.79,191,30.60,26.96,47,1.082,1.135,healthy
76274-1,Batman with the Batmobile vs Harley Quinn and Mr. Freeze,64.96,49.78,64,,33.18,6,1.305,,healthy
5007427-1,Pirate Adventure Ride,20.23,20.59,37,,8.52,1,0.983,,healthy
11028-1,Creative Pastel Fun,,18.99,3,19.07,,0,,,sparse
71809-1,Egalt the Master Dragon,,59.75,24,70.03,42.65,6,,1.642,healthy
40686-1,Trade Federation Troop Carrier,44.99,44.90,130,,33.77,3,1.002,,healthy
75391-1,Captain Rex Y-Wing Microfighter,12.99,9.80,97,,6.96,10,1.326,,healthy
60413-1,Fire Rescue Plane,59.70,45.73,9,,,0,1.306,,sparse
40273-1,Turkey,19.99,14.93,8,,10.43,5,1.339,,sparse
76200-1,Bro Thor's New Asgard,34.95,28.89,63,,23.03,14,1.210,,healthy
71038-13,Cruella de Vil,,,,4.99,,,,,error/not-found
40609-1,Christmas Fun VIP Add-On Pack,12.02,10.33,53,,5.70,1,1.163,,healthy
40577-1,Hogwarts: Grand Staircase,78.72,64.00,38,,46.75,3,1.230,,healthy
42635-1,Dog Grooming Car,13.99,5.50,2,,,0,2.545,,sparse
75323-1,The Justifier,145.55,116.76,51,,95.79,9,1.247,,healthy
76909-1,Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One,,33.94,42,24.04,16.08,14,,1.495,healthy
76915-1,Pagani Utopia,26.03,23.23,82,,14.66,12,1.120,,healthy
60275-1,Police Helicopter,,11.58,17,8.28,4.74,2,,1.746,healthy
71799-1,NINJAGO City Markets,450.00,384.72,88,,310.75,13,1.170,,healthy
41743-1,Hair Salon,,28.69,3,33.18,,0,,,sparse
30650-1,Kai and Rapton's Temple Battle,10.88,4.76,178,,3.20,3,2.286,,healthy
71792-1,Sora's Transforming Mech Bike Racer,77.88,45.50,27,,30.49,8,1.712,,healthy
40659-1,Mini Steamboat Willie,55.87,40.13,59,,35.99,1,1.392,,healthy
75388-1,Jedi Bob's Starfighter,39.99,25.20,59,,21.81,9,1.587,,healthy
40571-1,Christmas Polar Bears,,12.83,33,9.03,9.00,1,,1.003,healthy
892403-1,Jay,4.96,3.97,77,,,0,1.250,,healthy
40747-1,Daffodils,19.94,10.41,23,,7.13,1,1.916,,healthy
76181-1,Batmobile: The Penguin Chase,,34.28,33,20.12,21.18,9,,0.950,healthy
30589-1,Go-Kart Racer,9.52,3.87,51,3.00,1.90,2,2.461,1.583,healthy
77015-1,Temple of the Golden Idol,192.15,165.31,60,,132.24,12,1.162,,healthy
77012-1,Fighter Plane Chase,,38.39,58,34.95,26.04,10,,1.342,healthy
71037-11,Rockin' Horse Rider,,,,2.49,,,,,error/not-found
71038-7,Queen of Hearts,,,,3.72,,,,,error/not-found
71046-7,Flying Saucer Costume Fan,,,,7.54,,,,,error/not-found
71034-4,Reindeer Costume,,,,4.08,,,,,error/not-found
76431-1,Hogwarts: Potions Class,49.99,41.69,107,,30.69,7,1.199,,healthy
76435-1,Hogwarts Castle: The Great Hall,199.99,179.11,47,,158.09,6,1.117,,healthy
71045-2,Esports Girl,,55.16,55,3.00,53.13,4,,0.056,healthy
40531-1,Lars Family Homestead Kitchen,28.96,29.46,100,,22.44,6,0.983,,healthy
71037-7,Orc,,,,8.99,,,,,error/not-found
71045-11,Warrior,,,,4.67,,,,,error/not-found
40675-1,Clone Commander Cody,14.72,11.34,48,,6.77,10,1.298,,healthy
71047-1,Dwarf Barbarian,,5.52,32,6.55,,0,,,healthy
77013-1,Escape from the Lost Tomb,,38.67,67,36.35,32.23,11,,1.128,healthy
40602-1,Winter Market Stall,,16.42,193,17.20,10.18,4,,1.689,healthy
10698-1,Large Creative Brick Box,59.99,33.66,2,49.79,25.37,2,1.782,1.963,sparse
76267-1,Marvel Advent Calendar,,26.75,14,27.14,,0,,,healthy
40687-1,Alien Space Diner,24.99,21.87,74,,20.24,4,1.142,,healthy
71045-4,Paralympic Athlete,,,,2.54,,,,,error/not-found
75377-1,Invisible Hand,84.95,63.93,168,,47.75,28,1.329,,healthy
60420-1,Construction Excavator,64.95,49.42,72,,38.32,10,1.314,,healthy
40639-1,Bird's Nest,,11.38,41,17.14,7.47,6,,2.295,healthy
71046-4,Retro Space Heroine,,,,7.61,,,,,error/not-found
30455-1,Batmobile,,6.29,31,3.00,1.00,1,,3.000,healthy
40755-1,Imperial Dropship vs. Rebel Scout Speeder,55.00,44.86,131,,28.65,3,1.226,,healthy
71045-9,Harpy,,,,3.22,,,,,error/not-found
60428-1,Space Construction Mech,14.70,10.57,40,12.20,7.27,7,1.391,1.679,healthy
71045-1,Noir Detective,,4.38,17,4.23,,0,,,healthy
60318-1,Fire Helicopter,,8.46,17,7.00,4.03,2,,1.739,healthy
71047-3,Tiefling Sorcerer,,,,4.16,,,,,error/not-found
71034-1,Nutcracker,,5.30,12,4.88,3.49,1,,1.398,healthy
75317-1,The Mandalorian & The Child,19.99,16.50,123,,9.56,34,1.211,,healthy
71045-6,Mushroom Girl,,,,4.71,,,,,error/not-found
71038-15,Prince John,,,,5.17,,,,,error/not-found
71765-1,Ninja Ultra Combo Mech,,125.63,14,82.65,74.81,6,,1.105,healthy
75267-1,Mandalorian Battle Pack,19.99,20.01,197,17.47,13.99,32,0.999,1.249,healthy
76934-1,Ferrari F40 Supercar,,17.32,39,22.40,11.55,2,,1.939,healthy
75375-1,Millennium Falcon,84.99,59.66,36,,53.55,16,1.425,,healthy
76281-1,X-Men Jet,90.00,69.90,22,,56.77,3,1.288,,healthy
40422-1,Frankenstein,,13.58,48,9.75,9.47,10,,1.030,healthy
71772-1,The Crystal King,,90.66,15,69.99,84.90,3,,0.824,healthy
76285-1,Spider-Man's Mask,94.16,69.25,36,,51.60,10,1.360,,healthy
60426-1,Jungle Explorer Truck,39.99,26.97,6,,24.48,2,1.483,,sparse
71047-7,Mind Flayer,,,,4.37,,,,,error/not-found
30303-1,The Joker Bumper Car,8.76,6.88,45,,3.58,5,1.273,,healthy
40703-1,Micro Ninjago City,17.95,17.69,126,,10.34,2,1.015,,healthy
71038-6,Dr. Facilier,,,,3.66,,,,,error/not-found
40689-1,Firework Celebrations,14.99,9.24,81,,6.26,3,1.623,,healthy
71046-8,Ice Planet Explorer,,,,8.39,,,,,error/not-found
40721-1,Halloween Barn,,11.95,8,15.26,12.99,1,,1.175,sparse
40704-1,Micro Ninjago Docks,19.95,17.79,94,,,0,1.121,,healthy
40523-1,Easter Bunnies,21.87,13.90,64,9.91,10.53,3,1.573,0.941,healthy
76438-1,Harry Potter Advent Calendar 2024,,53.10,15,38.55,31.50,2,,1.224,healthy
76217-1,I am Groot,,35.52,96,41.46,24.76,49,,1.674,healthy
71472-1,Izzie's Narwhal Hot-Air Balloon,,10.62,10,12.45,8.00,2,,1.556,healthy
71045-5,Goat Farmer,,,,6.41,,,,,error/not-found
30651-1,Quidditch Practice,9.07,4.01,145,,2.70,2,2.259,,healthy
60387-1,4x4 Off-Roader Adventures,,25.21,10,24.89,,0,,,healthy
75296-1,Darth Vader Meditation Chamber,70.00,70.80,40,,48.97,11,0.989,,healthy
76293-1,Spider-Man 2024 Advent Calendar,,31.56,7,41.50,,0,,,sparse
40525-1,Endgame Battle,,15.19,49,9.90,6.39,2,,1.550,healthy
75348-1,Mandalorian Fang Fighter vs TIE Interceptor,90.00,82.24,55,,63.73,11,1.094,,healthy
71046-2,Imposter,,49.17,80,6.18,45.71,6,,0.135,healthy
75394-1,Imperial Star Destroyer,159.99,152.23,33,,116.50,3,1.051,,healthy
41439-1,Cat Grooming Car,,10.90,7,4.94,6.89,3,,0.717,sparse
40499-1,Santa's Sleigh,36.42,33.28,57,30.23,24.84,11,1.094,1.217,healthy
71454-1,Mateo and Z-Blob the Robot,,15.04,21,13.84,10.78,1,,1.284,healthy
75336-1,Inquisitor Transport Scythe,111.44,97.20,130,84.83,75.98,28,1.147,1.116,healthy
60344-1,Chicken Henhouse,,16.24,23,9.95,10.21,7,,0.975,healthy
40623-1,Battle of Endor Heroes,,31.80,60,27.37,21.84,6,,1.253,healthy
71046-10,Alien Beetlezoid,,,,5.80,,,,,error/not-found
71768-1,Jay's Golden Dragon Motorbike,,26.96,28,14.40,18.60,8,,0.774,healthy
43253-1,Disney Advent Calendar 2024,,19.63,1,37.34,,0,,,sparse
75374-1,The Onyx Cinder,149.99,117.41,38,,96.48,6,1.277,,healthy
71034-12,Green Dragon Costume,,,,4.71,,,,,error/not-found
10497-1,Galaxy Explorer,115.07,102.56,100,80.00,89.30,22,1.122,0.896,healthy
71047-8,Strahd von Zarovich,,,,4.15,,,,,error/not-found
40521-1,Mini Disney The Haunted Mansion,34.98,29.71,34,,19.74,2,1.177,,healthy
71038-14,Robin Hood,,,,5.99,,,,,error/not-found
30665-1,Baby Gorilla Encounter,9.93,4.05,157,,1.84,3,2.453,,healthy
30566-1,Fire Helicopter,,4.11,51,1.50,2.05,6,,0.730,healthy
71047-9,Elf Bard,,,,10.50,,,,,error/not-found
40272-1,Witch,,12.96,18,10.63,7.20,8,,1.476,healthy
75980-1,Attack on The Burrow,115.00,107.35,48,,77.36,15,1.071,,healthy
76923-1,Lamborghini Lambo V12 Vision GT Super Car,,21.15,45,24.89,14.93,10,,1.667,healthy
40591-1,Death Star II,85.00,57.85,134,,42.03,20,1.469,,healthy
60433-1,Modular Space Station,95.00,77.40,32,,65.49,3,1.227,,healthy
11011-1,Bricks and Animals,90.00,56.26,11,,,0,1.600,,healthy
75378-1,BARC Speeder Escape,,18.17,55,20.74,15.00,1,,1.383,healthy
76434-1,Aragog In The Forbidden Forest,24.72,16.72,28,,13.41,5,1.479,,healthy
40484-1,Santa's Front Yard,,15.83,73,12.98,11.93,4,,1.088,healthy
31140-1,Magical Unicorn,9.99,6.88,22,,4.18,7,1.453,,healthy
75363-1,The Mandalorian's N-1 Starfighter Microfighter,,12.58,60,11.20,7.74,11,,1.448,healthy
40539-1,Ahsoka Tano,,13.69,93,12.41,9.74,10,,1.275,healthy
41703-1,Friendship Tree House,,90.50,16,60.00,61.25,2,,0.980,healthy
40682-1,Spring Garden House,9.90,8.69,50,,8.52,1,1.140,,healthy
40622-1,Disney 100th Celebration,,21.42,53,21.00,22.96,3,,0.914,healthy
10305-1,Lion Knights' Castle,,375.99,395,495.67,463.55,23,,1.069,healthy
71039-12,Wolverine,,,,7.45,,,,,error/not-found
75342-1,Republic Fighter Tank,45.00,46.42,229,31.38,35.87,26,0.969,0.875,healthy
75254-1,AT-ST Raider,,38.31,99,25.00,26.60,35,,0.940,healthy
76289-1,Thor vs. Surtur Construction Figure,33.74,29.38,39,,19.09,2,1.148,,healthy
30434-1,Aston Martin Valkyrie AMR Pro,,4.78,100,3.00,2.83,7,,1.062,healthy
71038-11,Miguel Rivera,,,,5.49,,,,,error/not-found
76208-1,The Goat Boat,59.95,41.14,34,,27.58,6,1.457,,healthy
76398-1,Hogwarts Hospital Wing,79.99,71.17,28,,50.26,8,1.124,,healthy
43232-1,Peter Pan & Wendy's Flight over London,83.36,51.67,27,,40.03,3,1.613,,healthy
75347-1,TIE Bomber,,41.53,61,53.94,32.90,23,,1.640,healthy
552402-1,Mateo with Jet Pack,2.67,2.93,29,,,0,0.912,,healthy
60424-1,Jungle Explorer ATV,17.19,11.81,24,,5.00,1,1.455,,healthy
30590-1,Scarecrow,,5.22,114,5.45,3.19,2,,1.708,healthy
75383-1,Sith Infiltrator,89.99,74.52,106,,63.45,13,1.208,,healthy
71047-2,Gith Warlock,,71.47,246,6.59,71.15,6,,0.093,healthy
75372-1,Clone Trooper & Battle Droid Battle Pack,29.99,19.32,117,24.89,17.57,17,1.552,1.417,healthy
75358-1,Tenoo Jedi Temple,,15.57,30,29.34,20.00,1,,1.467,healthy
30495-1,AT-ST,,5.24,123,6.64,2.42,4,,2.744,healthy
40584-1,Birthday Diorama,,13.74,17,,,0,,,healthy
71047-12,Tasha the Witch Queen,,,,4.15,,,,,error/not-found
71038-16,Experiment 626 Stitch,,,,6.39,,,,,error/not-found
76179-1,Batman & Selina Kyle Motorcycle Pursuit,18.65,16.74,44,,12.83,2,1.114,,healthy
30392-1,Hermione's Study Desk,9.57,5.54,132,4.25,3.74,4,1.727,1.137,healthy
30685-1,TIE Interceptor,10.56,5.21,129,8.76,2.48,5,2.027,3.528,healthy
30585-1,Fire Patrol Vehicle,,4.27,22,3.60,3.39,2,,1.061,healthy
30580-1,Santa Claus,,4.75,98,3.21,2.98,3,,1.076,healthy
71038-4,Sorcerer Mickey,,,,6.94,,,,,error/not-found
30683-1,McLaren Formula 1 Car,8.80,4.73,71,,2.32,3,1.860,,healthy
71038-8,Aurora,,,,4.00,,,,,error/not-found
75376-1,Tantive IV,64.00,50.95,61,,37.79,21,1.256,,healthy
75298-1,AT-AT vs. Tauntaun Microfighters,25.00,22.09,59,14.99,14.54,13,1.132,1.031,healthy
71039-1,Agatha Harkness,,4.32,12,4.34,,0,,,healthy
76428-1,Hagrid's Hut: An Unexpected Visit,74.99,57.85,45,,43.25,7,1.296,,healthy
40706-1,Micro Ninjago City Markets,19.99,16.71,102,,11.99,2,1.196,,healthy
10275-1,Elf Club House,,120.96,58,98.99,99.91,8,,0.991,healthy
21253-1,The Animal Sanctuary,22.12,17.58,23,,14.79,1,1.258,,healthy
40570-1,Cat and Mouse,,20.55,26,10.16,,0,,,healthy
71045-8,Triceratops Costume Fan,,,,4.28,,,,,error/not-found
30435-1,Build Your Own Hogwarts Castle,10.37,5.15,139,4.00,3.62,9,2.013,1.105,healthy
75389-1,The Dark Falcon,179.99,134.29,69,,119.44,9,1.340,,healthy
30680-1,AAT,7.99,3.76,301,,1.76,2,2.124,,healthy
40709-1,Spring Animal Playground,15.00,7.68,10,,,0,1.954,,healthy
30652-1,Doctor Strange's Interdimensional Portal,,4.94,194,6.17,4.74,4,,1.302,healthy
60475-1,Advent Calendar 2025,40.68,33.95,45,,,0,1.198,,healthy
40728-1,Brite Bomber,,8.82,103,8.05,4.59,4,,1.752,healthy
60452-1,Donut Truck,19.99,15.95,17,,9.06,4,1.254,,healthy
60414-1,Fire Station with Fire Engine,79.99,64.91,4,,,0,1.232,,sparse
10785-1,Bakey with Cakey Fun,,10.56,9,12.45,5.37,2,,2.319,sparse
21343-1,Viking Village,179.95,136.43,117,149.36,114.69,28,1.319,1.302,healthy
71790-1,Imperium Dragon Hunter Hound,32.02,21.63,21,,15.52,5,1.481,,healthy
71034-9,Turkey Costume,,,,3.58,,,,,error/not-found
